,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
303,2022-03-17,286.4669268253734,288.7329318263678,282.63810836228123,288.3520202636719,30816600,0.0,0.0
304,2022-03-18,288.49854401593865,293.99757316021453,285.9199761499781,293.4408264160156,43390600,0.0,0.0
305,2022-03-21,291.9366399088193,293.15755991953046,288.03944296544944,292.2003479003906,28351200,0.0,0.0
306,2022-03-22,292.82542347385197,297.9044622950432,291.81938664594713,296.986328125,27599700,0.0,0.0
307,2022-03-23,293.5189338021798,296.1756568140491,290.79383211906736,292.52264404296875,25715400,0.0,0.0
308,2022-03-24,292.18084898798924,297.1231312309202,291.379918238393,297.02545166015625,24484500,0.0,0.0
309,2022-03-25,298.1291013103075,298.3928092653331,292.32728783883726,296.6151428222656,22566500,0.0,0.0
310,2022-03-28,297.25005982529126,303.5695430664441,297.25005982529126,303.4718933105469,29578200,0.0,0.0
311,2022-03-29,306.607222558749,308.47279202478853,301.8602697702275,308.07232666015625,30393400,0.0,0.0
312,2022-03-30,306.460730362384,308.5997848205672,304.33142299608545,306.5583801269531,28163600,0.0,0.0
313,2022-03-31,306.5974635669247,307.80863663067623,300.7272997269449,301.13751220703125,33422100,0.0,0.0
314,2022-04-01,302.17282500075515,302.9151539322343,298.43193906959664,302.2216796875,27110500,0.0,0.0
315,2022-04-04,302.87607102658353,307.77927515123645,302.5049065671156,307.6425476074219,24289600,0.0,0.0
316,2022-04-05,305.9821502196351,307.5449341602854,302.66125297551855,303.64776611328125,23156700,0.0,0.0
317,2022-04-06,298.0900394683066,299.8579291087359,289.8073080898712,292.53240966796875,40110400,0.0,0.0
318,2022-04-07,289.7585291617781,296.585904824709,289.45574336149144,294.35894775390625,31411200,0.0,0.0
319,2022-04-08,293.45058514528654,294.114758514282,289.3873595463898,290.0613098144531,24361900,0.0,0.0
320,2022-04-11,285.0017718728879,285.80267264379717,278.3697268759227,278.6236877441406,34569300,0.0,0.0
321,2022-04-12,282.511157952063,283.9762621950299,273.96471653475595,275.4981994628906,30966700,0.0,0.0
322,2022-04-13,276.1526089669584,281.86649131999866,274.75585368671136,280.9288330078125,21907200,0.0,0.0
323,2022-04-14,281.3879186331937,281.60280178213094,272.8219531836376,273.320068359375,28221600,0.0,0.0
324,2022-04-18,272.4214876350913,275.88888910133113,271.86474086664373,273.9940185546875,20778000,0.0,0.0
325,2022-04-19,272.88052008737515,279.5125661563599,271.93308493466304,278.66278076171875,22297700,0.0,0.0
326,2022-04-20,282.66737520470974,282.96041387141395,278.7311305570008,279.6980895996094,22906700,0.0,0.0
327,2022-04-21,281.86648069625517,286.47667611820435,273.54470014806367,274.2772521972656,29454600,0.0,0.0
328,2022-04-22,275.12705553343875,276.6117136875856,267.0201567056211,267.655029296875,29405800,0.0,0.0
329,2022-04-25,266.9321897300406,274.5702425946465,264.47079593368284,274.1893310546875,35678900,0.0,0.0
330,2022-04-26,271.0442617252178,271.88424044488903,263.7187411380498,263.9336242675781,46518400,0.0,0.0
331,2022-04-27,275.5372250259476,284.2008683712325,272.66561886945095,276.63116455078125,63477700,0.0,0.0
332,2022-04-28,278.5553489961394,284.21065891974973,274.9121128968321,282.8920593261719,33646600,0.0,0.0
333,2022-04-29,281.89574937354394,283.136223111986,270.0674912783745,271.0637512207031,37073900,0.0,0.0
334,2022-05-02,271.24936642596634,278.31117896291823,269.79403921596037,277.85211181640625,35151100,0.0,0.0
335,2022-05-03,277.35394774810663,277.5200059843768,273.63258595213057,275.22467041015625,25978600,0.0,0.0
336,2022-05-04,276.01582385743836,284.11297367860845,270.29216518032763,283.2339172363281,33599300,0.0,0.0
337,2022-05-05,278.89723724006825,279.6883911046849,267.9577808832732,270.89776611328125,43260400,0.0,0.0
338,2022-05-06,268.4168403708345,272.75355096051,264.9591862936349,268.3387145996094,37780300,0.0,0.0
339,2022-05-09,263.7772665423057,266.0237469488618,257.1940768192163,258.42474365234375,47726000,0.0,0.0
340,2022-05-10,265.36937009549405,267.38144359694786,258.90338342503435,263.2303161621094,39336400,0.0,0.0
341,2022-05-11,259.499263094769,265.0471174849475,253.26768145041362,254.4886016845703,48975900,0.0,0.0
342,2022-05-12,251.6950891843199,253.83414329810515,244.20352624091382,249.40953063964844,51033800,0.0,0.0
343,2022-05-13,251.36298922372015,256.92061886600135,249.40951742840485,255.04527282714844,34925100,0.0,0.0
344,2022-05-16,253.91221570260788,259.6359026632726,249.8294674458951,255.41639709472656,32550900,0.0,0.0
345,2022-05-17,259.91919740852256,262.0875524770811,256.3541170419708,260.6127014160156,28828800,0.0,0.0
346,2022-05-18,257.4798766012705,258.06728913926753,247.46459889192343,248.74710083007812,31356000,0.62,0.0
347,2022-05-19,248.57085563260682,252.26174575927817,246.5932644172971,247.82681274414062,32692300,0.0,0.0
348,2022-05-20,251.84076675260135,253.11349891147856,241.2674604629305,247.25900268554688,39199300,0.0,0.0
349,2022-05-23,250.12751404871221,256.01136450516975,248.11073893484485,255.17919921875,33175400,0.0,0.0
350,2022-05-24,252.47715229414266,255.84492252938776,248.1792798135891,254.1708221435547,29043900,0.0,0.0
351,2022-05-25,252.72190578456176,259.0267089356945,251.73309514558585,257.00994873046875,28547900,0.0,0.0
352,2022-05-26,256.76518578883463,261.5035951035618,255.94282019309284,260.3190002441406,25002100,0.0,0.0
353,2022-05-27,262.844812045236,267.6027898610932,261.94410902602965,267.5048828125,26910800,0.0,0.0
354,2022-05-31,266.8098470869673,269.0028220056436,263.28540176977856,266.1636962890625,37827700,0.0,0.0
355,2022-06-01,269.4238282296738,271.86155596020575,264.37212808920003,266.7021789550781,25292200,0.0,0.0
356,2022-06-02,258.8994475400852,268.88534091282213,256.1092604664374,268.8168029785156,44008200,0.0,0.0
357,2022-06-03,264.636460617641,267.7105694939504,262.77634569587696,264.3525390625,28059000,0.0,0.0
358,2022-06-06,266.34977752444354,268.4252764323423,261.6113670290209,263.1092529296875,22400300,0.0,0.0
359,2022-06-07,261.0434971660239,267.3972687467386,260.35817754202344,266.7804870605469,22860700,0.0,0.0
360,2022-06-08,266.0070160537956,267.2699483511355,263.9510873987638,264.73431396484375,17372300,0.0,0.0
361,2022-06-09,262.1595636433309,266.9860806891871,259.07568497746337,259.2323303222656,26439700,0.0,0.0
362,2022-06-10,255.11065175767507,255.11065175767507,247.2296258219551,247.6799774169922,31422800,0.0,0.0
363,2022-06-13,239.96537332587806,243.79330970606344,236.4605123501644,237.17518615722656,46135800,0.0,0.0
364,2022-06-14,238.74163196295504,240.58217749193724,236.4409500517273,239.35841369628906,28651500,0.0,0.0
365,2022-06-15,243.0981845594626,249.94147585726012,241.24785462929694,246.47576904296875,33111700,0.0,0.0
366,2022-06-16,240.81710376437903,242.22688189014661,237.91923978454233,239.82830810546875,33169200,0.0,0.0
367,2022-06-17,239.563992633981,245.24225951463924,238.90805704586595,242.4520721435547,43084800,0.0,0.0
